state,participation,composite,year,state_abbr,region
Alabama,100,19.1,2018,AL,South
Alaska,33,20.8,2018,AK,West
Arizona,66,19.2,2018,AZ,West
Arkansas,100,19.4,2018,AR,South
California,27,22.7,2018,CA,West
Colorado,30,23.9,2018,CO,West
Connecticut,26,25.6,2018,CT,Northeast
Delaware,17,23.8,2018,DE,South
District of columbia,32,23.6,2018,Invalid state name,Unknown
Florida,66,19.9,2018,FL,South
Georgia,53,21.4,2018,GA,South
Hawaii,89,18.9,2018,HI,West
Idaho,36,22.3,2018,ID,West
Illinois,43,23.9,2018,IL,Midwest
Indiana,32,22.5,2018,IN,Midwest
Iowa,68,21.8,2018,IA,Midwest
Kansas,71,21.6,2018,KS,Midwest
Kentucky,100,20.2,2018,KY,South
Louisiana,100,19.2,2018,LA,South
Maine,7,24.0,2018,ME,Northeast
Maryland,31,22.5,2018,MD,South
Massachusetts,25,25.5,2018,MA,Northeast
Michigan,22,24.2,2018,MI,Midwest
Minnesota,99,21.3,2018,MN,Midwest
Mississippi,100,18.6,2018,MS,South
Missouri,100,20.0,2018,MO,Midwest
Montana,100,20.0,2018,MT,West
Nebraska,100,20.1,2018,NE,Midwest
Nevada,100,17.7,2018,NV,West
New Hampshire,16,25.1,2018,NH,Northeast
New Jersey,31,23.7,2018,NJ,Northeast
New Mexico,67,19.4,2018,NM,West
New York,27,24.5,2018,NY,Northeast
North Carolina,100,19.1,2018,NC,South
North Dakota,98,20.3,2018,ND,Midwest
Ohio,100,20.3,2018,OH,Midwest
Oklahoma,100,19.3,2018,OK,South
Oregon,42,21.3,2018,OR,West
Pennsylvania,20,23.5,2018,PA,Northeast
Rhode Island,15,24.2,2018,RI,Northeast
South Carolina,100,18.3,2018,SC,South
South Dakota,77,21.9,2018,SD,Midwest
Tennessee,100,19.6,2018,TN,South
Texas,45,20.7,2018,TX,South
Utah,100,20.4,2018,UT,West
Vermont,24,24.1,2018,VT,Northeast
Virginia,24,23.9,2018,VA,South
Washington,24,22.2,2018,WA,West
West Virginia,65,20.3,2018,WV,South
Wisconsin,100,20.5,2018,WI,Midwest
Wyoming,100,20.0,2018,WY,West
